id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Enrichment
CYSTM1	ENSG00000120306	CYSTM1	84418	CYSTM1	-0.89423
CYTH1	ENSG00000108669	CYTH1	9267	CYTH1	0.39314
CYTH2	ENSG00000105443	CYTH2	9266	CYTH2	1.01307
CYTH3	ENSG00000008256	CYTH3	9265	CYTH3	0.34595
CYTH4	ENSG00000100055	CYTH4	27128	CYTH4	0.78264
CYTIP	ENSG00000115165	CYTIP	9595	CYTIP	-0.1281594
CYTL1	ENSG00000170891	CYTL1	54360	CYTL1	0.034375
CYYR1	ENSG00000166265	CYYR1	116159	CYYR1	1.20001
D2HGDH	ENSG00000180902	D2HGDH	728294	D2HGDH	-0.098315
DAAM1	ENSG00000100592	DAAM1	23002	DAAM1	0.941375
DAAM2	ENSG00000146122	DAAM2	23500	DAAM2	0.564225
DAB1	ENSG00000173406	DAB1	1600	DAB1	-0.31314
DAB2	ENSG00000153071	DAB2	1601	DAB2	-0.053961
DAB2IP	ENSG00000136848	DAB2IP	153090	DAB2IP	-0.684585
DACH1	ENSG00000276644	DACH1	1602	DACH1	-0.69544
DACH2	ENSG00000126733	DACH2	117154	DACH2	0.21861
DACT1	ENSG00000165617	DACT1	51339	DACT1	-0.51806
DACT2	ENSG00000164488	DACT2	168002	DACT2	-0.88045
DACT3	ENSG00000197380	DACT3	147906	DACT3	-0.22056
DAD1	ENSG00000129562	DAD1	1603	DAD1	1.812705
DAG1	ENSG00000173402	DAG1	1605	DAG1	-0.05573
DAGLA	ENSG00000134780	DAGLA	747	DAGLA	0.145805
DAGLB	ENSG00000164535	DAGLB	221955	DAGLB	0.1207037
DALRD3	ENSG00000178149	DALRD3	55152	DALRD3	0.5431
DAND5	ENSG00000179284	DAND5	199699	DAND5	0.067375
DAO	ENSG00000110887	DAO	1610	DAO	1.533635
DAOA	ENSG00000182346	DAOA	267012	DAOA	-0.199945
DAP	ENSG00000112977	DAP	1611	DAP	0.090395
DAP3	ENSG00000132676	DAP3	7818	DAP3	-0.829105
DAPK1	ENSG00000196730	DAPK1	1612	DAPK1	0.84275
DAPK2	ENSG00000035664	DAPK2	23604	DAPK2	-0.5319795
DAPK3	ENSG00000167657	DAPK3	1613	DAPK3	-0.078028
DAPL1	ENSG00000163331	DAPL1	92196	DAPL1	-0.113895
DAPP1	ENSG00000070190	DAPP1	27071	DAPP1	-1.216595
DARS	ENSG00000115866	DARS1	1615	DARS1	-0.903959
DARS2	ENSG00000117593	DARS2	55157	DARS2	1.60493
DAW1	ENSG00000123977	DAW1	164781	DAW1	0.357145
DAXX	ENSG00000204209	DAXX	1616	DAXX	0.19593
DAZ1	ENSG00000188120	DAZ1	1617	DAZ1	0.289525
DAZ2	ENSG00000205944	DAZ2	57055	DAZ2	-0.33443
DAZ3	ENSG00000187191	DAZ3	57054	DAZ3	-0.70479
DAZ4	ENSG00000205916	DAZ4	57135	DAZ4	-0.44167
DAZAP1	ENSG00000071626	DAZAP1	26528	DAZAP1	0.532295
DAZAP2	ENSG00000183283	DAZAP2	9802	DAZAP2	-0.84265
DAZL	ENSG00000092345	DAZL	1618	DAZL	-0.28929
DBF4	ENSG00000006634	DBF4	10926	DBF4	-0.215
DBF4B	ENSG00000161692	DBF4B	80174	DBF4B	-0.51487
DBH	ENSG00000123454	DBH	1621	DBH	0.2051
DBI	ENSG00000155368	DBI	1622	DBI	-0.16821
DBN1	ENSG00000113758	DBN1	1627	DBN1	-0.868
DBNDD1	ENSG00000003249	DBNDD1	79007	DBNDD1	0.475525
DBNDD2	ENSG00000244274	DBNDD2	55861	DBNDD2	0.276165
DBNL	ENSG00000136279	DBNL	28988	DBNL	0.31201
DBP	ENSG00000105516	DBP	1628	DBP	0.316875
DBR1	ENSG00000138231	DBR1	51163	DBR1	-0.293965
DBT	ENSG00000137992	DBT	1629	DBT	0.452755
DBX1	ENSG00000109851	DBX1	120237	DBX1	0.194175
DBX2	ENSG00000185610	DBX2	440097	DBX2	0.551775
DCAF10	ENSG00000122741	DCAF10	79269	DCAF10	0.88156
DCAF11	ENSG00000100897	DCAF11	80344	DCAF11	0.550855
DCAF12	ENSG00000198876	DCAF12	25853	DCAF12	-0.65217
DCAF12L1	ENSG00000198889	DCAF12L1	139170	DCAF12L1	0.5544
DCAF12L2	ENSG00000198354	DCAF12L2	340578	DCAF12L2	-1.234685
DCAF13	ENSG00000164934	DCAF13	25879	DCAF13	0.27805
DCAF15	ENSG00000132017	DCAF15	90379	DCAF15	-0.304765
DCAF16	ENSG00000163257	DCAF16	54876	DCAF16	-0.66344
DCAF17	ENSG00000115827	DCAF17	80067	DCAF17	-0.45483
DCAF4	ENSG00000119599	DCAF4	26094	DCAF4	-0.751571
DCAF4L1	ENSG00000182308	DCAF4L1	285429	DCAF4L1	-0.68763
DCAF4L2	ENSG00000176566	DCAF4L2	138009	DCAF4L2	-0.27495
DCAF5	ENSG00000139990	DCAF5	8816	DCAF5	0.0139999999999999
DCAF6	ENSG00000143164	DCAF6	55827	DCAF6	-0.334895
DCAF7	ENSG00000136485	DCAF7	10238	DCAF7	-0.18846
DCAF8	ENSG00000132716	DCAF8	50717	DCAF8	-0.34874
DCAF8L1	ENSG00000226372	DCAF8L1	139425	DCAF8L1	0.1210145
DCAF8L2	ENSG00000189186	DCAF8L2	347442	DCAF8L2	0.270085
DCAKD	ENSG00000172992	DCAKD	79877	DCAKD	-0.29337
DCANP1	ENSG00000251380	DCANP1	140947	DCANP1	0.06582
DCBLD1	ENSG00000164465	DCBLD1	285761	DCBLD1	-0.0398
DCBLD2	ENSG00000057019	DCBLD2	131566	DCBLD2	1.254775
DCC	ENSG00000187323	DCC	1630	DCC	0.04558655
DCD	ENSG00000161634	DCD	117159	DCD	-0.0498405
DCDC1	ENSG00000170959	DCDC1	341019	DCDC1	-0.28911
DCDC2	ENSG00000146038	DCDC2	51473	DCDC2	0.218947
DCDC2B	ENSG00000222046	DCDC2B	149069	DCDC2B	-0.646415
DCDC2C	ENSG00000214866	DCDC2C	728597	DCDC2C	-0.2721
DCDC5	ENSG00000170959	DCDC1	341019	DCDC1	-0.22965
DCHS1	ENSG00000166341	DCHS1	8642	DCHS1	0.93724
DCHS2	ENSG00000197410	DCHS2	54798	DCHS2	0.2933795
DCK	ENSG00000156136	DCK	1633	DCK	-0.659698
DCLK1	ENSG00000133083	DCLK1	9201	DCLK1	1.140125
DCLK2	ENSG00000170390	DCLK2	166614	DCLK2	0.30766
DCLK3	ENSG00000163673	DCLK3	85443	DCLK3	0.3816525
DCLRE1A	ENSG00000198924	DCLRE1A	9937	DCLRE1A	-0.823295
DCLRE1B	ENSG00000118655	DCLRE1B	64858	DCLRE1B	-0.51206
DCLRE1C	ENSG00000152457	DCLRE1C	64421	DCLRE1C	-0.994565
DCN	ENSG00000011465	DCN	1634	DCN	-0.310765
DCP1A	ENSG00000272886	DCP1A	55802	DCP1A	0.12659
DCP1B	ENSG00000151065	DCP1B	196513	DCP1B	-0.7467
DCP2	ENSG00000172795	DCP2	167227	DCP2	0.554591
DCPS	ENSG00000110063	DCPS	28960	DCPS	0.828905
DCST1	ENSG00000163357	DCST1	149095	DCST1	-0.083494
DCST2	ENSG00000163354	DCST2	127579	DCST2	-0.068779
DCSTAMP	ENSG00000164935	DCSTAMP	81501	DCSTAMP	-0.933035
DCT	ENSG00000080166	DCT	1638	DCT	-0.572545
DCTD	ENSG00000129187	DCTD	1635	DCTD	-0.105387
DCTN1	ENSG00000204843	DCTN1	1639	DCTN1	-0.69613
DCTN2	ENSG00000175203	DCTN2	10540	DCTN2	-0.128355
DCTN3	ENSG00000137100	DCTN3	11258	DCTN3	0.021435
DCTN4	ENSG00000132912	DCTN4	51164	DCTN4	-0.592273
DCTN5	ENSG00000166847	DCTN5	84516	DCTN5	0.58744
DCTN6	ENSG00000104671	DCTN6	10671	DCTN6	-0.1186575
DCTPP1	ENSG00000179958	DCTPP1	79077	DCTPP1	0.063995
DCUN1D1	ENSG00000043093	DCUN1D1	54165	DCUN1D1	0.986475
DCUN1D2	ENSG00000150401	DCUN1D2	55208	DCUN1D2	0.65308
DCUN1D3	ENSG00000188215	DCUN1D3	123879	DCUN1D3	0.2000765
DCUN1D4	ENSG00000109184	DCUN1D4	23142	DCUN1D4	-0.30666
DCUN1D5	ENSG00000137692	DCUN1D5	84259	DCUN1D5	-0.162595
DCX	ENSG00000077279	DCX	1641	DCX	0.43283
DCXR	ENSG00000169738	DCXR	51181	DCXR	-0.684025
DDA1	ENSG00000130311	DDA1	79016	DDA1	-0.85808
DDAH1	ENSG00000153904	DDAH1	23576	DDAH1	1.5775
DDAH2	ENSG00000213722	DDAH2	23564	DDAH2	-0.054435
DDB1	ENSG00000167986	DDB1	1642	DDB1	0.07381
DDB2	ENSG00000134574	DDB2	1643	DDB2	1.21165
DDC	ENSG00000132437	DDC	1644	DDC	-0.757545
DDHD1	ENSG00000100523	DDHD1	80821	DDHD1	-0.8376045
DDHD2	ENSG00000085788	DDHD2	23259	DDHD2	0.99585
DDI1	ENSG00000170967	DDI1	414301	DDI1	0.1959127
DDI2	ENSG00000197312	DDI2	84301	DDI2	-0.65309
DDIAS	ENSG00000165490	DDIAS	220042	DDIAS	-0.44589
DDIT3	ENSG00000175197	DDIT3	1649	DDIT3	-0.44667
DDIT4	ENSG00000168209	DDIT4	54541	DDIT4	-0.00542999999999999
DDIT4L	ENSG00000145358	DDIT4L	115265	DDIT4L	1.1983
DDN	ENSG00000181418	DDN	23109	DDN	0.3878335
DDO	ENSG00000203797	DDO	8528	DDO	0.2127175
DDOST	ENSG00000244038	DDOST	1650	DDOST	0.005871
DDR1	ENSG00000204580	DDR1	780	DDR1	-0.286518
DDR2	ENSG00000162733	DDR2	4921	DDR2	0.514865
DDRGK1	ENSG00000198171	DDRGK1	65992	DDRGK1	-0.149308
DDT	ENSG00000099977	DDT	1652	DDT	0.1231
DDTL	ENSG00000099974	DDTL	100037417	DDTL	-0.34145
DDX1	ENSG00000079785	DDX1	1653	DDX1	0.377785
DDX10	ENSG00000178105	DDX10	1662	DDX10	-0.516895
DDX11	ENSG00000013573	DDX11	1663	DDX11	0.720085
DDX17	ENSG00000100201	DDX17	10521	DDX17	-0.0544
DDX18	ENSG00000088205	DDX18	8886	DDX18	0.057063
DDX19A	ENSG00000168872	DDX19A	55308	DDX19A	-0.564035
DDX19B	ENSG00000157349	DDX19B	11269	DDX19B	0.103721
DDX20	ENSG00000064703	DDX20	11218	DDX20	-0.39685
DDX21	ENSG00000165732	DDX21	9188	DDX21	0.01854
DDX23	ENSG00000174243	DDX23	9416	DDX23	-0.39463
DDX24	ENSG00000089737	DDX24	57062	DDX24	-0.245885
DDX25	ENSG00000109832	DDX25	29118	DDX25	0.38777
DDX26B	ENSG00000165359	INTS6L	203522	INTS6L	0.14371
DDX27	ENSG00000124228	DDX27	55661	DDX27	0.958585
DDX28	ENSG00000182810	DDX28	55794	DDX28	-0.77322
DDX31	ENSG00000125485	DDX31	64794	DDX31	0.78724
DDX39A	ENSG00000123136	DDX39A	10212	DDX39A	0.9335228
DDX39B	ENSG00000198563	DDX39B	7919	DDX39B	-0.851315
DDX3X	ENSG00000215301	DDX3X	1654	DDX3X	0.91212
DDX3Y	ENSG00000067048	DDX3Y	8653	DDX3Y	-0.575945
DDX4	ENSG00000152670	DDX4	54514	DDX4	-0.38338
DDX41	ENSG00000183258	DDX41	51428	DDX41	-0.413075
DDX42	ENSG00000198231	DDX42	11325	DDX42	-0.121945
DDX43	ENSG00000080007	DDX43	55510	DDX43	-0.51918
DDX46	ENSG00000145833	DDX46	9879	DDX46	-0.1261
DDX47	ENSG00000213782	DDX47	51202	DDX47	0.813905
DDX49	ENSG00000105671	DDX49	54555	DDX49	-0.837725
DDX5	ENSG00000108654	DDX5	1655	DDX5	-0.650175
DDX50	ENSG00000107625	DDX50	79009	DDX50	0.318885
DDX51	ENSG00000185163	DDX51	317781	DDX51	0.458394
DDX52	ENSG00000278053	DDX52	11056	DDX52	0.26421
DDX53	ENSG00000184735	DDX53	168400	DDX53	-0.5897
DDX54	ENSG00000123064	DDX54	79039	DDX54	-0.149754
DDX55	ENSG00000111364	DDX55	57696	DDX55	-0.62179
DDX56	ENSG00000136271	DDX56	54606	DDX56	-0.3052475
DDX58	ENSG00000107201	RIGI	23586	RIGI	0.52071
DDX59	ENSG00000118197	DDX59	83479	DDX59	-0.50207
DDX6	ENSG00000110367	DDX6	1656	DDX6	-0.226179
DDX60	ENSG00000137628	DDX60	55601	DDX60	0.43063
DDX60L	ENSG00000181381	DDX60L	91351	DDX60L	-0.6200575
DEAF1	ENSG00000177030	DEAF1	10522	DEAF1	0.743055
DEC1	ENSG00000134107	BHLHE40	8553	BHLHE40	-0.17619
DECR1	ENSG00000104325	DECR1	1666	DECR1	-0.291803
DECR2	ENSG00000242612	DECR2	26063	DECR2	-0.827565
DEDD	ENSG00000158796	DEDD	9191	DEDD	0.181635
DEDD2	ENSG00000160570	DEDD2	162989	DEDD2	-0.15911
DEF6	ENSG00000023892	DEF6	50619	DEF6	0.18774
DEF8	ENSG00000140995	DEF8	54849	DEF8	-0.520345
DEFA1	ENSG00000206047	DEFA1	1667	DEFA1	-0.90155445
DEFA1B	ENSG00000240247	DEFA1B	728358	DEFA1B	-0.16737
DEFA3	ENSG00000239839	DEFA3	1668	DEFA3	-0.63039
DEFA4	ENSG00000164821	DEFA4	1669	DEFA4	-0.119935
DEFA5	ENSG00000164816	DEFA5	1670	DEFA5	-0.462435
DEFA6	ENSG00000164822	DEFA6	1671	DEFA6	0.069185
DEFB1	ENSG00000164825	DEFB1	1672	DEFB1	-0.48903
DEFB103A	ENSG00000176797	DEFB103A	414325	DEFB103A	-0.5697675
DEFB104B	ENSG00000177023	DEFB104B	503618	DEFB104B	0.672645
DEFB105A	ENSG00000186562	DEFB105A	245908	DEFB105A	-0.304975
DEFB105B	ENSG00000186599	DEFB105B	504180	DEFB105B	-0.652945
DEFB106A	ENSG00000186579	DEFB106A	245909	DEFB106A	-0.140535
DEFB106B	ENSG00000187082	DEFB106B	503841	DEFB106B	-0.101755
DEFB107A	ENSG00000186572	DEFB107A	245910	DEFB107A	0.36228
DEFB107B	ENSG00000198129	DEFB107B	503614	DEFB107B	0.231925
DEFB108B	ENSG00000184276	DEFB108B	245911	DEFB108B	-0.881425
DEFB110	ENSG00000203970	DEFB110	245913	DEFB110	-0.818955
DEFB112	ENSG00000180872	DEFB112	245915	DEFB112	-0.3991
DEFB113	ENSG00000214642	DEFB113	245927	DEFB113	-0.02144
DEFB114	ENSG00000177684	DEFB114	245928	DEFB114	1.35478
DEFB115	ENSG00000215547	DEFB115	245929	DEFB115	-0.652555
DEFB116	ENSG00000215545	DEFB116	245930	DEFB116	0.4690825
DEFB118	ENSG00000131068	DEFB118	117285	DEFB118	1.078845
DEFB119	ENSG00000180483	DEFB119	245932	DEFB119	-0.672825
DEFB121	ENSG00000204548	DEFB121	245934	DEFB121	-1.015475
DEFB123	ENSG00000180424	DEFB123	245936	DEFB123	-0.0308495
DEFB124	ENSG00000180383	DEFB124	245937	DEFB124	0.404251
DEFB125	ENSG00000178591	DEFB125	245938	DEFB125	-1.041495
DEFB126	ENSG00000125788	DEFB126	81623	DEFB126	1.13135
DEFB127	ENSG00000088782	DEFB127	140850	DEFB127	-0.44829
DEFB128	ENSG00000185982	DEFB128	245939	DEFB128	-0.2634155
DEFB129	ENSG00000125903	DEFB129	140881	DEFB129	0.18853
DEFB130	ENSG00000232948	DEFB130A	245940	DEFB130A	-0.662575
DEFB131	ENSG00000186146	DEFB131A	644414	DEFB131A	-0.384895
DEFB132	ENSG00000186458	DEFB132	400830	DEFB132	-0.926055
DEFB133	ENSG00000214643	DEFB133	403339	DEFB133	-0.74141
DEFB134	ENSG00000205882	DEFB134	613211	DEFB134	0.461515
DEFB135	ENSG00000205883	DEFB135	613209	DEFB135	-0.204087
DEFB136	ENSG00000205884	DEFB136	613210	DEFB136	0.017642
DEFB4A	ENSG00000171711	DEFB4A	1673	DEFB4A	-0.045
DEFB4B	ENSG00000177257	DEFB4B	100289462	DEFB4B	-0.18675
DEGS1	ENSG00000143753	DEGS1	8560	DEGS1	0.2741715
DEGS2	ENSG00000168350	DEGS2	123099	DEGS2	-1.091235
DEK	ENSG00000124795	DEK	7913	DEK	0.46095
DENND1A	ENSG00000119522	DENND1A	57706	DENND1A	-0.286835
DENND1B	ENSG00000213047	DENND1B	163486	DENND1B	0.41043
DENND1C	ENSG00000205744	DENND1C	79958	DENND1C	-0.343805
DENND2A	ENSG00000146966	DENND2A	27147	DENND2A	0.080239
DENND2C	ENSG00000175984	DENND2C	163259	DENND2C	-0.22977
DENND2D	ENSG00000162777	DENND2D	79961	DENND2D	-0.20758
DENND3	ENSG00000105339	DENND3	22898	DENND3	-0.19201515
DENND4A	ENSG00000174485	DENND4A	10260	DENND4A	-0.11042
DENND4B	ENSG00000198837	DENND4B	9909	DENND4B	-0.348005
DENND4C	ENSG00000137145	DENND4C	55667	DENND4C	0.32408
DENND5A	ENSG00000184014	DENND5A	23258	DENND5A	-0.584195
DENND5B	ENSG00000170456	DENND5B	160518	DENND5B	-0.458675
DENND6A	ENSG00000174839	DENND6A	201627	DENND6A	-0.038585
DENND6B	ENSG00000205593	DENND6B	414918	DENND6B	-0.69421
DENR	ENSG00000139726	DENR	8562	DENR	-0.209195
DEPDC1	ENSG00000024526	DEPDC1	55635	DEPDC1	0.527265
DEPDC1B	ENSG00000035499	DEPDC1B	55789	DEPDC1B	-0.0804499999999999
DEPDC4	ENSG00000166153	DEPDC4	120863	DEPDC4	-0.135745
DEPDC5	ENSG00000100150	DEPDC5	9681	DEPDC5	0.06311
DEPDC7	ENSG00000121690	DEPDC7	91614	DEPDC7	0.92728
DEPTOR	ENSG00000155792	DEPTOR	64798	DEPTOR	-1.27482
DERA	ENSG00000023697	DERA	51071	DERA	0.088615
DERL1	ENSG00000136986	DERL1	79139	DERL1	-0.82263
DERL2	ENSG00000072849	DERL2	51009	DERL2	1.128675
DERL3	ENSG00000099958	DERL3	91319	DERL3	-0.336385
DES	ENSG00000175084	DES	1674	DES	-1.3588
DESI1	ENSG00000100418	DESI1	27351	DESI1	0.685775
DESI2	ENSG00000121644	DESI2	51029	DESI2	-0.290755
DET1	ENSG00000140543	DET1	55070	DET1	-0.4075105
DEXI	ENSG00000182108	DEXI	28955	DEXI	-0.08812
DFFA	ENSG00000160049	DFFA	1676	DFFA	-0.35941
DFFB	ENSG00000169598	DFFB	1677	DFFB	0.560945
DFNA5	ENSG00000105928	GSDME	1687	GSDME	-0.284661
DFNB31	ENSG00000095397	WHRN	25861	WHRN	0.568285
DFNB59	ENSG00000204311	PJVK	494513	PJVK	-0.2200985
DGAT1	ENSG00000185000	DGAT1	8694	DGAT1	0.088165
DGAT2	ENSG00000062282	DGAT2	84649	DGAT2	0.427205
DGAT2L6	ENSG00000184210	DGAT2L6	347516	DGAT2L6	0.6855
DGCR14	ENSG00000100056	ESS2	8220	ESS2	0.41157
DGCR2	ENSG00000070413	DGCR2	9993	DGCR2	0.00854
DGCR6	ENSG00000183628	DGCR6	8214	DGCR6	0.32642
DGCR6L	ENSG00000128185	DGCR6L	85359	DGCR6L	-0.332495
DGCR8	ENSG00000128191	DGCR8	54487	DGCR8	0.177292
DGKA	ENSG00000065357	DGKA	1606	DGKA	0.29277
DGKB	ENSG00000136267	DGKB	1607	DGKB	0.712005
DGKD	ENSG00000077044	DGKD	8527	DGKD	0.44336
DGKE	ENSG00000153933	DGKE	8526	DGKE	0.383045
DGKG	ENSG00000058866	DGKG	1608	DGKG	-0.623145
DGKH	ENSG00000102780	DGKH	160851	DGKH	-0.42985
DGKI	ENSG00000157680	DGKI	9162	DGKI	-0.229445
DGKK	ENSG00000274588	DGKK	139189	DGKK	-0.1273
DGKQ	ENSG00000145214	DGKQ	1609	DGKQ	0.28097
DGKZ	ENSG00000149091	DGKZ	8525	DGKZ	-0.606145
DGUOK	ENSG00000114956	DGUOK	1716	DGUOK	0.77601
DHCR24	ENSG00000116133	DHCR24	1718	DHCR24	0.931
DHCR7	ENSG00000172893	DHCR7	1717	DHCR7	-1.5944
DHDDS	ENSG00000117682	DHDDS	79947	DHDDS	-0.412265
DHDH	ENSG00000104808	DHDH	27294	DHDH	0.060105
DHFR	ENSG00000228716	DHFR	1719	DHFR	0.810135
DHFRL1	ENSG00000178700	DHFR2	200895	DHFR2	-0.1681215
DHH	ENSG00000139549	DHH	50846	DHH	0.37174
DHODH	ENSG00000102967	DHODH	1723	DHODH	-0.592845
DHPS	ENSG00000095059	DHPS	1725	DHPS	0.33861
DHRS1	ENSG00000157379	DHRS1	115817	DHRS1	-0.308495
DHRS11	ENSG00000278535	DHRS11	79154	DHRS11	-0.5207275
DHRS12	ENSG00000102796	DHRS12	79758	DHRS12	-0.823575
DHRS13	ENSG00000167536	DHRS13	147015	DHRS13	0.5495
DHRS2	ENSG00000100867	DHRS2	10202	DHRS2	-0.2122515
DHRS3	ENSG00000162496	DHRS3	9249	DHRS3	0.16763
DHRS4	ENSG00000157326	DHRS4	10901	DHRS4	-0.206895
DHRS4L1	ENSG00000225766	DHRS4L1	728635	DHRS4L1	0.270087
DHRS4L2	ENSG00000187630	DHRS4L2	317749	DHRS4L2	0.98515
DHRS7	ENSG00000100612	DHRS7	51635	DHRS7	-0.120685
DHRS7B	ENSG00000109016	DHRS7B	25979	DHRS7B	0.19538
DHRS7C	ENSG00000184544	DHRS7C	201140	DHRS7C	0.03786
DHRS9	ENSG00000073737	DHRS9	10170	DHRS9	1.23215
DHRSX	ENSG00000169084	DHRSX	207063	DHRSX	-1.332795
DHTKD1	ENSG00000181192	DHTKD1	55526	DHTKD1	0.4381925
DHX15	ENSG00000109606	DHX15	1665	DHX15	-0.061875
DHX16	ENSG00000204560	DHX16	8449	DHX16	2.2013
DHX29	ENSG00000067248	DHX29	54505	DHX29	-0.264015
DHX30	ENSG00000132153	DHX30	22907	DHX30	-0.327395
DHX32	ENSG00000089876	DHX32	55760	DHX32	-0.05452
DHX33	ENSG00000005100	DHX33	56919	DHX33	-0.201945
DHX34	ENSG00000134815	DHX34	9704	DHX34	-0.14681
DHX35	ENSG00000101452	DHX35	60625	DHX35	0.6975755
DHX36	ENSG00000174953	DHX36	170506	DHX36	-0.18997
DHX37	ENSG00000150990	DHX37	57647	DHX37	-0.2689025
DHX38	ENSG00000140829	DHX38	9785	DHX38	0.0763
DHX40	ENSG00000108406	DHX40	79665	DHX40	-0.028045
DHX57	ENSG00000163214	DHX57	90957	DHX57	-0.369395
DHX58	ENSG00000108771	DHX58	79132	DHX58	-0.291055
DHX8	ENSG00000067596	DHX8	1659	DHX8	0.03913
DHX9	ENSG00000135829	DHX9	1660	DHX9	-0.707065
DIABLO	ENSG00000184047	DIABLO	56616	DIABLO	-0.245108
DIAPH1	ENSG00000131504	DIAPH1	1729	DIAPH1	-0.254795
DIAPH2	ENSG00000147202	DIAPH2	1730	DIAPH2	-0.16744
DIAPH3	ENSG00000139734	DIAPH3	81624	DIAPH3	-0.10676
DICER1	ENSG00000100697	DICER1	23405	DICER1	-1.14074
DIDO1	ENSG00000101191	DIDO1	11083	DIDO1	0.137715
DIEXF	ENSG00000117597	UTP25	27042	UTP25	0.000760000000000011
DIMT1	ENSG00000086189	DIMT1	27292	DIMT1	0.595615
DIO1	ENSG00000211452	DIO1	1733	DIO1	-0.60509
DIO2	ENSG00000211448	DIO2	1734	DIO2	0.137495
DIO3	ENSG00000197406	DIO3	1735	DIO3	-0.03878
DIP2A	ENSG00000160305	DIP2A	23181	DIP2A	-0.71993
DIP2B	ENSG00000066084	DIP2B	57609	DIP2B	-0.94825
DIP2C	ENSG00000151240	DIP2C	22982	DIP2C	0.188925
DIRAS1	ENSG00000176490	DIRAS1	148252	DIRAS1	0.28464
DIRAS2	ENSG00000165023	DIRAS2	54769	DIRAS2	-1.072725
DIRAS3	ENSG00000162595	DIRAS3	9077	DIRAS3	-0.4610035
DIRC1	ENSG00000174325	DIRC1	116093	DIRC1	-0.526935
DIRC2	ENSG00000138463	SLC49A4	84925	SLC49A4	1.085285
DIS3	ENSG00000083520	DIS3	22894	DIS3	0.939775
DIS3L	ENSG00000166938	DIS3L	115752	DIS3L	-0.580765
DIS3L2	ENSG00000144535	DIS3L2	129563	DIS3L2	0.649375
DISC1	ENSG00000162946	DISC1	27185	DISC1	0.360685
DISP1	ENSG00000154309	DISP1	84976	DISP1	0.169291
DISP2	ENSG00000140323	DISP2	85455	DISP2	0.076585
DIXDC1	ENSG00000150764	DIXDC1	85458	DIXDC1	-0.05055
DKC1	ENSG00000130826	DKC1	1736	DKC1	-0.560245
DKK1	ENSG00000107984	DKK1	22943	DKK1	0.3374301
DKK2	ENSG00000155011	DKK2	27123	DKK2	0.21427
DKK3	ENSG00000050165	DKK3	27122	DKK3	-0.404659
DKK4	ENSG00000104371	DKK4	27121	DKK4	0.920135
DKKL1	ENSG00000104901	DKKL1	27120	DKKL1	0.123515
DLAT	ENSG00000150768	DLAT	1737	DLAT	0.055005
DLC1	ENSG00000164741	DLC1	10395	DLC1	-0.684005
DLD	ENSG00000091140	DLD	1738	DLD	0.50809
DLEC1	ENSG00000008226	DLEC1	9940	DLEC1	-0.07326315
DLEU7	ENSG00000186047	DLEU7	220107	DLEU7	-0.052335
DLG1	ENSG00000075711	DLG1	1739	DLG1	-1.23407
DLG2	ENSG00000150672	DLG2	1740	DLG2	0.379165
DLG3	ENSG00000082458	DLG3	1741	DLG3	-0.09048
DLG4	ENSG00000132535	DLG4	1742	DLG4	0.0281385
DLG5	ENSG00000151208	DLG5	9231	DLG5	-0.679035
DLGAP1	ENSG00000170579	DLGAP1	9229	DLGAP1	-1.16485
DLGAP2	ENSG00000198010	DLGAP2	9228	DLGAP2	0.820755
DLGAP3	ENSG00000116544	DLGAP3	58512	DLGAP3	0.486388
DLGAP4	ENSG00000080845	DLGAP4	22839	DLGAP4	1.14252675
DLGAP5	ENSG00000126787	DLGAP5	9787	DLGAP5	0.44155
DLK1	ENSG00000185559	DLK1	8788	DLK1	0.505385
DLK2	ENSG00000171462	DLK2	65989	DLK2	-0.30513
DLL1	ENSG00000198719	DLL1	28514	DLL1	0.6396089
DLL3	ENSG00000090932	DLL3	10683	DLL3	-1.427195
DLL4	ENSG00000128917	DLL4	54567	DLL4	0.48529
DLST	ENSG00000119689	DLST	1743	DLST	0.590877
DLX1	ENSG00000144355	DLX1	1745	DLX1	0.05725
DLX2	ENSG00000115844	DLX2	1746	DLX2	-0.59376
DLX3	ENSG00000064195	DLX3	1747	DLX3	-0.33199
DLX4	ENSG00000108813	DLX4	1748	DLX4	-1.19685
DLX5	ENSG00000105880	DLX5	1749	DLX5	0.25947
DLX6	ENSG00000006377	DLX6	1750	DLX6	-0.525779
DMAP1	ENSG00000178028	DMAP1	55929	DMAP1	-0.0872405
DMBT1	ENSG00000187908	DMBT1	1755	DMBT1	-0.264
DMBX1	ENSG00000197587	DMBX1	127343	DMBX1	0.20655
DMC1	ENSG00000100206	DMC1	11144	DMC1	-0.794845
DMD	ENSG00000198947	DMD	1756	DMD	0.241335
DMGDH	ENSG00000132837	DMGDH	29958	DMGDH	0.821535
DMKN	ENSG00000161249	DMKN	93099	DMKN	-0.6534
DMP1	ENSG00000152592	DMP1	1758	DMP1	-0.03453
DMPK	ENSG00000104936	DMPK	1760	DMPK	0.41896
DMRT1	ENSG00000137090	DMRT1	1761	DMRT1	0.319585
DMRT2	ENSG00000173253	DMRT2	10655	DMRT2	-0.79089
DMRT3	ENSG00000064218	DMRT3	58524	DMRT3	-0.42865
DMRTA1	ENSG00000176399	DMRTA1	63951	DMRTA1	-0.45962
